0.7969	0.3819	0.7969	0.3773	0.7988	0.3773	0.795	0.3773	0.7756	0.3542	0.735	0.3264	0.675	0.3009	0.5938	0.294	0.4971	0.3241	0.4159	0.3843	0.3482	0.4583	0.2882	0.5764	0.265	0.7268	0.2611	0.8264	0.2631	0.8194	0.2708	0.7268	0.2882	0.6065	0.3308	0.5069	0.3869	0.4259	0.4526	0.3704	0.5396	0.3287	0.6209	0.3148	0.6847	0.3218	0.7331	0.3403	0.764	0.3704	0.7776	0.3796	0.7602	0.3681	0.7079	0.3241	0.6286	0.2986	0.5396	0.3079	0.4449	0.3518	0.3617	0.4213	0.2979	0.5324	0.2824	0.6482	0.294	0.7454	0.3114	0.8356	0.3134	0.8796	0.3056	0.838	0.2959	0.7407	0.3037	0.6227	0.3404	0.5139	0.3985	0.4259	0.4739	0.3611	0.559	0.3125	0.6383	0.294	0
0.6789	0.2732	0.6808	0.2732	0.6808	0.2732	0.6808	0.2732	0.6789	0.2685	0.6634	0.2569	0.6383	0.2477	0.5996	0.2407	0.5416	0.2384	0.472	0.2523	0.3965	0.2801	0.3308	0.3241	0.2708	0.3958	0.2147	0.4861	0.1818	0.588	0.1625	0.6667	0.1489	0.7268	0.1451	0.7569	0.1489	0.7407	0.1605	0.6806	0.1838	0.5949	0.234	0.4954	0.2901	0.4074	0.3617	0.3356	0.4391	0.287	0.5164	0.2593	0.5938	0.25	0.6615	0.2685	0.706	0.294	0.7369	0.3194	0.7428	0.3194	0.7292	0.3032	0.6983	0.2732	0.646	0.2477	0.5745	0.2315	0.4913	0.2338	0.4159	0.2662	0.3462	0.3264	0.2863	0.4051	0.234	0.4884	0.1954	0.5741	0.178	0.6366	0.1722	0.6736	0.1702	0.6921	0.1722	0.6921	0
0.7215	0.2361	0.7234	0.2361	0.7234	0.2361	0.7234	0.2361	0.7234	0.2361	0.7157	0.2338	0.675	0.2268	0.5919	0.2268	0.4971	0.25	0.4275	0.3125	0.3694	0.3819	0.3095	0.4931	0.2785	0.6227	0.2631	0.7153	0.2611	0.7639	0.2592	0.7662	0.2747	0.6968	0.3075	0.5579	0.3772	0.4306	0.4604	0.3518	0.559	0.3056	0.6538	0.2986	0.7311	0.2963	0.793	0.3056	0.8201	0.3148	0.8085	0.3079	0.7563	0.287	0.6654	0.2708	0.5493	0.2616	0.4584	0.3148	0.3946	0.3912	0.3385	0.4884	0.3075	0.5972	0.2882	0.6713	0.2805	0.7176	0.2805	0.7315	0.2882	0.6875	0.3114	0.581	0.3675	0.4676	0.441	0.3773	0.5203	0.3056	0.5977	0.2593	0.6712	0.2523	0.735	0.2662	0.7814	0.2778	0
0.5648	0.3241	0.5629	0.3241	0.5609	0.3241	0.559	0.3241	0.559	0.3241	0.5513	0.3102	0.5222	0.2847	0.4662	0.2685	0.3907	0.2824	0.3114	0.3218	0.2437	0.3866	0.178	0.4468	0.1219	0.5579	0.1025	0.6782	0.0986	0.7569	0.0967	0.75	0.0928	0.6875	0.1083	0.5972	0.1393	0.5069	0.1799	0.4236	0.236	0.3611	0.3075	0.3056	0.3985	0.2593	0.4894	0.2384	0.5687	0.2523	0.6228	0.2847	0.6499	0.2986	0.648	0.2894	0.6209	0.2662	0.5629	0.2523	0.4797	0.2523	0.3849	0.2824	0.3037	0.3356	0.2456	0.4005	0.205	0.4514	0.176	0.5069	0.1567	0.5787	0.1412	0.6319	0.1393	0.6204	0.1605	0.5556	0.205	0.4907	0.2631	0.4236	0.3327	0.3472	0.4101	0.2801	0.4913	0.2431	0
0.6712	0.3843	0.6712	0.3866	0.6731	0.3866	0.6731	0.3843	0.6731	0.3796	0.6596	0.3657	0.617	0.3588	0.5571	0.3889	0.4932	0.4537	0.4662	0.5232	0.4623	0.6204	0.4739	0.7176	0.5454	1.0	0.4797	0.8056	0.4487	0.7037	0.4507	0.5926	0.4681	0.4861	0.5106	0.3843	0.5667	0.2963	0.646	0.2431	0.7466	0.2593	0.8356	0.3426	0.8762	0.4468	0.8723	0.4815	0.8627	0.4491	0.8491	0.3866	0.8278	0.3241	0.7795	0.2593	0.6983	0.2361	0.6035	0.2662	0.528	0.3264	0.4778	0.4005	0.4487	0.4653	0.4391	0.5301	0.4294	0.6227	0.4449	0.7523	0.4565	0.8403	0.5126	0.9838	0.5087	0.9699	0.472	0.8171	0.4642	0.7639	0.441	0.6412	0.4507	0.5417	0.4778	0.4421	0.5319	0.3426	0
0.8337	0.3588	0.8375	0.3773	0.8298	0.3843	0.8317	0.3773	0.8317	0.4167	0.8008	0.5023	0.7311	0.5764	0.6364	0.6343	0.5454	0.6667	0.472	0.6528	0.4255	0.6111	0.4101	0.5509	0.4139	0.4768	0.4275	0.4005	0.4468	0.3403	0.4604	0.3264	0.4584	0.3681	0.4642	0.4352	0.4932	0.4977	0.5396	0.5463	0.6132	0.5718	0.7041	0.5694	0.7872	0.544	0.8414	0.4861	0.8646	0.3982	0.8646	0.3171	0.8665	0.2685	0.8723	0.3009	0.8704	0.3843	0.8472	0.4676	0.7892	0.5255	0.706	0.5741	0.6054	0.6134	0.5029	0.6157	0.4371	0.5532	0.4159	0.4583	0.4255	0.3704	0.4468	0.3218	0.4546	0.3518	0.4604	0.4352	0.4913	0.5116	0.5571	0.5602	0.646	0.5787	0.7466	0.5671	0.8375	0.5255	0
0.7157	0.6806	0.7137	0.6806	0.7099	0.6898	0.7118	0.6829	0.7157	0.6574	0.7137	0.6551	0.6944	0.581	0.6499	0.5208	0.6035	0.4977	0.5396	0.5093	0.4565	0.5208	0.3656	0.5417	0.323	0.6389	0.2553	0.7292	0.2186	0.8032	0.2108	0.8125	0.2244	0.7639	0.2476	0.6505	0.3095	0.5926	0.3482	0.5486	0.4429	0.5	0.5493	0.4884	0.6248	0.4606	0.6886	0.4931	0.735	0.5648	0.7698	0.6157	0.7872	0.6343	0.7776	0.6111	0.7389	0.5556	0.6731	0.4583	0.5957	0.4722	0.5106	0.4931	0.4043	0.5185	0.3385	0.5741	0.2959	0.5926	0.2631	0.6852	0.236	0.7523	0.2244	0.7662	0.2302	0.7431	0.2476	0.6782	0.3017	0.6111	0.354	0.5764	0.4101	0.5232	0.4913	0.4861	0.559	0.4838	0
0.7756	0.6042	0.7756	0.6042	0.7795	0.5972	0.7563	0.5394	0.7079	0.4444	0.6422	0.3982	0.5435	0.4352	0.4294	0.4838	0.3752	0.5394	0.3288	0.6088	0.3172	0.7315	0.3134	0.7569	0.3134	0.75	0.3114	0.6435	0.3482	0.5671	0.3772	0.5185	0.441	0.4815	0.53	0.4583	0.6112	0.456	0.6596	0.4398	0.7002	0.4954	0.7292	0.5301	0.7331	0.6435	0.7466	0.6458	0.7447	0.6018	0.7331	0.5023	0.7021	0.4815	0.6499	0.4468	0.5861	0.4421	0.5087	0.4306	0.4313	0.4537	0.3598	0.4931	0.3308	0.5486	0.3037	0.6018	0.2863	0.6991	0.2921	0.787	0.2843	0.7431	0.2921	0.6296	0.3269	0.5648	0.3675	0.5185	0.4565	0.4583	0.5454	0.4537	0.6151	0.4768	0.6634	0.4676	0.7118	0.5347	0
0.7776	0.6343	0.7756	0.6343	0.7737	0.6181	0.7582	0.5069	0.7137	0.4051	0.6518	0.3843	0.5629	0.3657	0.4623	0.3935	0.3888	0.4352	0.3462	0.4838	0.3288	0.5347	0.3114	0.5718	0.2921	0.6181	0.2959	0.7338	0.2901	0.7245	0.2998	0.588	0.3424	0.5185	0.4217	0.4514	0.5145	0.4167	0.5899	0.4329	0.648	0.4444	0.6925	0.456	0.7466	0.5185	0.8046	0.5671	0.8414	0.6157	0.8453	0.6065	0.8162	0.5556	0.7524	0.4699	0.6673	0.4097	0.5803	0.4306	0.4932	0.4213	0.4062	0.4468	0.3385	0.5116	0.2959	0.5579	0.2302	0.5995	0.178	0.6852	0.1625	0.7176	0.1741	0.7037	0.236	0.581	0.3211	0.5278	0.383	0.4699	0.4642	0.4375	0.559	0.4421	0.6325	0.463	0.6808	0.4838	0
0.7447	0.5856	0.7447	0.5903	0.7466	0.5833	0.735	0.5579	0.7118	0.4722	0.6576	0.4329	0.5919	0.4514	0.5029	0.4514	0.412	0.4768	0.3656	0.537	0.3153	0.5625	0.2747	0.6759	0.2495	0.7176	0.2514	0.7199	0.2611	0.6713	0.3056	0.5903	0.3559	0.5069	0.4546	0.463	0.5319	0.4722	0.6054	0.4745	0.6576	0.4699	0.7079	0.5532	0.7389	0.6204	0.7486	0.6458	0.7466	0.6435	0.7331	0.5972	0.6944	0.4977	0.6286	0.4537	0.53	0.4352	0.4197	0.4468	0.3211	0.463	0.2437	0.5255	0.2089	0.6389	0.1799	0.7338	0.1663	0.7917	0.1683	0.787	0.1876	0.7361	0.2186	0.625	0.2727	0.5278	0.3656	0.4653	0.47	0.4583	0.5629	0.456	0.6228	0.4537	0.6654	0.4815	0.7157	0.5394	0
